ops-master-2.opensearch.local  | [2022-05-30T14:56:55,298][INFO ][o.o.t.NettyAllocator     ] [ops-master-2.opensearch.local] creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=256kb, factors={opensearch.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=1mb, heap_size=512mb}]
ops-master-2.opensearch.local  | [2022-05-30T14:56:55,379][INFO ][o.o.d.DiscoveryModule    ] [ops-master-2.opensearch.local] using discovery type [zen] and seed hosts providers [settings]
ops-master-2.opensearch.local  | [2022-05-30T14:56:55,839][WARN ][o.o.g.DanglingIndicesState] [ops-master-2.opensearch.local] gateway.auto_import_dangling_indices is disabled, dangling indices will not be automatically detected or imported and must be managed manually
ops-master-2.opensearch.local  | [2022-05-30T14:56:56,374][INFO ][o.o.p.h.c.PerformanceAnalyzerConfigAction] [ops-master-2.opensearch.local] PerformanceAnalyzer Enabled: false
ops-master-2.opensearch.local  | [2022-05-30T14:56:56,402][INFO ][o.o.n.Node               ] [ops-master-2.opensearch.local] initialized
ops-master-2.opensearch.local  | [2022-05-30T14:56:56,402][INFO ][o.o.n.Node               ] [ops-master-2.opensearch.local] starting ...
ops-master-2.opensearch.local  | [2022-05-30T14:56:56,512][INFO ][o.o.t.TransportService   ] [ops-master-2.opensearch.local] publish_address {172.19.0.2:9300}, bound_addresses {0.0.0.0:9300}
ops-master-2.opensearch.local  | [2022-05-30T14:56:56,648][INFO ][o.o.b.BootstrapChecks    ] [ops-master-2.opensearch.local] bound or publishing to a non-loopback address, enforcing bootstrap checks
ops-master-2.opensearch.local  | [2022-05-30T14:57:06,663][WARN ][o.o.c.c.ClusterFormationFailureHelper] [ops-master-2.opensearch.local] cluster-manager not discovered yet, this node has not previously joined a bootstrapped cluster, and [cluster.initial_cluster_manager_nodes] is empty on this node: have discovered [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}]; discovery will continue using [172.31.6.145:9300] from hosts providers and [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}] from last-known cluster state; node term 0, last-accepted version 0 in term 0
ops-master-2.opensearch.local  | [2022-05-30T14:57:16,665][WARN ][o.o.c.c.ClusterFormationFailureHelper] [ops-master-2.opensearch.local] cluster-manager not discovered yet, this node has not previously joined a bootstrapped cluster, and [cluster.initial_cluster_manager_nodes] is empty on this node: have discovered [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}]; discovery will continue using [172.31.6.145:9300] from hosts providers and [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}] from last-known cluster state; node term 0, last-accepted version 0 in term 0
ops-master-2.opensearch.local  | [2022-05-30T14:57:26,666][WARN ][o.o.c.c.ClusterFormationFailureHelper] [ops-master-2.opensearch.local] cluster-manager not discovered yet, this node has not previously joined a bootstrapped cluster, and [cluster.initial_cluster_manager_nodes] is empty on this node: have discovered [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}]; discovery will continue using [172.31.6.145:9300] from hosts providers and [{ops-master-2.opensearch.local}{np3iHj4wSIi_Mv2heuLKLQ}{ahgDMNWUSAOpFA3SKfDqZA}{172.19.0.2}{172.19.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}] from last-known cluster state; node term 0, last-accepted version 0 in term 0
ops-master-2.opensearch.local  | [2022-05-30T14:57:26,668][WARN ][o.o.n.Node               ] [ops-master-2.opensearch.local] timed out while waiting for initial discovery state -timeout: 30s
ops-master-2.opensearch.local  | [2022-05-30T14:57:26,680][INFO ][o.o.h.AbstractHttpServerTransport] [ops-master-2.opensearch.local] publish_address {172.19.0.2:9200}, bound_addresses {0.0.0.0:9200}
ops-master-2.opensearch.local  | [2022-05-30T14:57:26,681][INFO ][o.o.n.Node               ] [ops-master-2.opensearch.local] started
ops-master-2.opensearch.local  | [2022-05-30T14:57:26,682][INFO ][o.o.s.OpenSearchSecurityPlugin] [ops-master-2.opensearch.local] Node started
ops-master-2.opensearch.local  | [2022-05-30T14:57:26,682][INFO ][o.o.s.c.ConfigurationRepository] [ops-master-2.opensearch.local] Will attempt to create index .opendistro_security and default configs if they are absent
ops-master-2.opensearch.local  | [2022-05-30T14:57:26,684][INFO ][o.o.s.OpenSearchSecurityPlugin] [ops-master-2.opensearch.local] 0 OpenSearch Security modules loaded so far: []
ops-master-2.opensearch.local  | [2022-05-30T14:57:26,684][INFO ][o.o.s.c.ConfigurationRepository] [ops-master-2.opensearch.local] Background init thread started. Install defaultconfig?: true
ops-master-2.opensearch.local  | [2022-05-30T14:57:26,978][WARN ][o.o.d.HandshakingTransportAddressConnector] [ops-master-2.opensearch.local] [connectToRemoteMasterNode[172.31.6.145:9300]] completed handshake with [{ops-master-1.opensearch.local}{AgfLb3RrTRCWIpCPGJF7mQ}{HTII4ExgRu60GvRtOha63w}{172.18.0.2}{172.18.0.2:9300}{dimr}{shard_indexing_pressure_enabled=true}] but followup connection failed
ops-master-2.opensearch.local  | org.opensearch.transport.ConnectTransportException: [ops-master-1.opensearch.local][172.18.0.2:9300] connect_exception
ops-master-2.opensearch.local  |        at org.opensearch.transport.TcpTransport$ChannelsConnectedListener.onFailure(TcpTransport.java:1076) ~[opensearch-2.0.0.jar:2.0.0]
ops-master-2.opensearch.local  |        at org.opensearch.action.ActionListener.lambda$toBiConsumer$2(ActionListener.java:215) ~[opensearch-2.0.0.jar:2.0.0]
ops-master-2.opensearch.local  |        at org.opensearch.common.concurrent.CompletableContext.lambda$addListener$0(CompletableContext.java:55) ~[opensearch-core-2.0.0.jar:2.0.0]
ops-master-2.opensearch.local  |        at java.util.concurrent.CompletableFuture.uniWhenComplete(CompletableFuture.java:863) ~[?:?]
ops-master-2.opensearch.local  |        at java.util.concurrent.CompletableFuture$UniWhenComplete.tryFire(CompletableFuture.java:841) ~[?:?]
ops-master-2.opensearch.local  |        at java.util.concurrent.CompletableFuture.postComplete(CompletableFuture.java:510) ~[?:?]
ops-master-2.opensearch.local  |        at java.util.concurrent.CompletableFuture.completeExceptionally(CompletableFuture.java:2162) ~[?:?]
ops-master-2.opensearch.local  |        at org.opensearch.common.concurrent.CompletableContext.completeExceptionally(CompletableContext.java:70) ~[opensearch-core-2.0.0.jar:2.0.0]
ops-master-2.opensearch.local  |        at org.opensearch.transport.netty4.Netty4TcpChannel.lambda$addListener$0(Netty4TcpChannel.java:81) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.DefaultPromise.notifyListener0(DefaultPromise.java:578) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.DefaultPromise.notifyListeners0(DefaultPromise.java:571) ~[?:?]
ops-master-2.opensearch.local  |        at io.netty.util.concurrent.DefaultPromise.notifyListenersNow(DefaultPromise.java:550) ~[?:?]
